,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Source,Ticker,Name,Downloaded on Date
2045,2045,2045,2045,WIKI,WEX,"WEX (WEX) Prices, Dividends, Splits and Trading Volume",20170721
2046,2046,2046,2046,WIKI,AAOI,"Applied Optoelectronics Inc (AAOI) Prices, Dividends, Splits and Trading Volume",20170721
2047,2047,2047,2047,WIKI,ACC,"American Campus Communities Inc (ACC) Prices, Dividends, Splits and Trading Volume",20170721
2048,2048,2048,2048,WIKI,MUSA,"Murphy USA (MUSA) Prices, Dividends, Splits and Trading Volume",20170721
2049,2049,2049,2049,WIKI,ABBV,"AbbVie Inc. (ABBV) Prices, Dividends, Splits and Trading Volume",20170721
2050,2050,2050,2050,WIKI,VSAR,"Versartis Inc (VSAR) Prices, Dividends, Splits and Trading Volume",20170721
2051,2051,2051,2051,WIKI,HRL,"Hormel Foods Corp. (HRL) Prices, Dividends, Splits and Trading Volume",20170721
2052,2052,2052,2052,WIKI,VAR,"Varian Medical Systems Inc. (VAR) Prices, Dividends, Splits and Trading Volume",20170721
2053,2053,2053,2053,WIKI,CSRA,"CSRA Inc (CSRA) Prices, Dividends, Splits and Trading Volume",20170721
2054,2054,2054,2054,WIKI,CSCO,"Cisco Systems Inc. (CSCO) Prices, Dividends, Splits and Trading Volume",20170721
2055,2055,2055,2055,WIKI,DTE,"DTE Energy Co. (DTE) Prices, Dividends, Splits and Trading Volume",20170721
2056,2056,2056,2056,WIKI,SPGI,Untitled Dataset 2016-05-03 21:49:19,20170721
2057,2057,2057,2057,WIKI,MON,"Monsanto Co. (MON) Prices, Dividends, Splits and Trading Volume",20170721
2058,2058,2058,2058,WIKI,SLB,"Schlumberger Ltd. (SLB) Prices, Dividends, Splits and Trading Volume",20170721
2059,2059,2059,2059,WIKI,WLTW,"WLTW (WLTW) Prices, Dividends, Splits and Trading Volume",20170721
2060,2060,2060,2060,WIKI,MRK,"Merck & Co. Inc (MRK) Prices, Dividends, Splits and Trading Volume",20170721
2061,2061,2061,2061,WIKI,FDX,"FedEx Corp (FDX) Prices, Dividends, Splits and Trading Volume",20170721
2062,2062,2062,2062,WIKI,FTI,"FMC Technologies Inc. (FTI) Prices, Dividends, Splits and Trading Volume",20170721
2063,2063,2063,2063,WIKI,TSS,"Total System Services Inc. (TSS) Prices, Dividends, Splits and Trading Volume",20170721
